,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
476,Sunrisers Hyderabad,Delhi Daredevils,"18th April, 2015",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Jean-Paul Duminy,0
477,Kings XI Punjab,Kolkata Knight Riders,"18th April, 2015",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,0
478,Rajasthan Royals,Chennai Super Kings,"19th April, 2015",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Chennai Super Kings,Rajasthan Royals,Ajinkya Rahane,1
479,Royal Challengers Bangalore,Mumbai Indians,"19th April, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Mumbai Indians,Harbhajan Singh,0
480,Delhi Daredevils,Kolkata Knight Riders,"20th April, 2015",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Umesh Yadav,0
481,Rajasthan Royals,Kings XI Punjab,"21st April, 2015",league,"Narendra Modi Stadium, Ahmedabad",Day Match,Kings XI Punjab,Kings XI Punjab,Shaun Marsh,0
482,Sunrisers Hyderabad,Kolkata Knight Riders,"22nd April, 2015",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Kolkata Knight Riders,Sunrisers Hyderabad,David Warner,1
483,Royal Challengers Bangalore,Chennai Super Kings,"22nd April, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Chennai Super Kings,Suresh Raina,0
484,Delhi Daredevils,Mumbai Indians,"23rd April, 2015",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Delhi Daredevils,Shreyas Iyer,1
485,Rajasthan Royals,Royal Challengers Bangalore,"24th April, 2015",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Mitchell Starc,0
486,Mumbai Indians,Sunrisers Hyderabad,"25th April, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Lasith Malinga,1
