,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
811,Mumbai Indians,Royal Challengers Bangalore,"28th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Mumbai Indians,Mumbai Indians,Suryakumar Yadav,1
812,Chennai Super Kings,Kolkata Knight Riders,"29th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ruturaj Gaikwad,1
813,Kings XI Punjab,Rajasthan Royals,"30th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Rajasthan Royals,Rajasthan Royals,Ben Stokes,0
814,Delhi Capitals,Mumbai Indians,"31st October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day Match,Mumbai Indians,Mumbai Indians,Ishan Kishan,0
815,Royal Challengers Bangalore,Sunrisers Hyderabad,"31st October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Sandeep Sharma,0
816,Chennai Super Kings,Kings XI Punjab,"1st November, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Chennai Super Kings,Chennai Super Kings,Ruturaj Gaikwad,1
817,Kolkata Knight Riders,Rajasthan Royals,"1st November, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Pat Cummins,1
818,Delhi Capitals,Royal Challengers Bangalore,"2nd November, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Delhi Capitals,Delhi Capitals,Anrich Nortje,1
819,Mumbai Indians,Sunrisers Hyderabad,"3rd November, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Shahbaz Nadeem,0
820,Delhi Capitals,Mumbai Indians,"5th November, 2020",knockout,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Delhi Capitals,Mumbai Indians,Jasprit Bumrah,0
821,Royal Challengers Bangalore,Sunrisers Hyderabad,"6th November, 2020",knockout,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Kane Williamson,0
822,Delhi Capitals,Sunrisers Hyderabad,"8th November, 2020",knockout,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Delhi Capitals,Delhi Capitals,Marcus Stoinis,1
823,Delhi Capitals,Mumbai Indians,"10th November, 2020",knockout,"Dubai International Cricket Stadium, Dubai",Day Match,Delhi Capitals,Mumbai Indians,Trent Boult,0
824,Mumbai Indians,Royal Challengers Bangalore,"9th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Harshal Patel,0
825,Chennai Super Kings,Delhi Capitals,"10th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Capitals,Delhi Capitals,Shikhar Dhawan,0
826,Kolkata Knight Riders,Sunrisers Hyderabad,"11th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Nitish Rana,1
827,Punjab Kings,Rajasthan Royals,"12th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Punjab Kings,Sanju Samson,1
828,Kolkata Knight Riders,Mumbai Indians,"13th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Rahul Chahar,0
829,Royal Challengers Bangalore,Sunrisers Hyderabad,"14th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Sunrisers Hyderabad,Royal Challengers Bangalore,Glenn Maxwell,1
830,Delhi Capitals,Rajasthan Royals,"15th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Jaydev Unadkat,0
831,Chennai Super Kings,Punjab Kings,"16th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Deepak Chahar,1
832,Mumbai Indians,Sunrisers Hyderabad,"17th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,1
833,Kolkata Knight Riders,Royal Challengers Bangalore,"18th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,0
834,Delhi Capitals,Punjab Kings,"18th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Capitals,Delhi Capitals,Shikhar Dhawan,1
835,Chennai Super Kings,Rajasthan Royals,"19th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Moeen Ali,1
836,Delhi Capitals,Mumbai Indians,"20th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Delhi Capitals,Amit Mishra,1
837,Punjab Kings,Sunrisers Hyderabad,"21st April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Punjab Kings,Sunrisers Hyderabad,Jonny Bairstow,0
838,Chennai Super Kings,Kolkata Knight Riders,"21st April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Faf du Plessis,1
839,Rajasthan Royals,Royal Challengers Bangalore,"22nd April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Devdutt  Padikkal,0
840,Mumbai Indians,Punjab Kings,"23rd April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Punjab Kings,Punjab Kings,KL Rahul,0
841,Kolkata Knight Riders,Rajasthan Royals,"24th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Chris Morris,0
842,Chennai Super Kings,Royal Challengers Bangalore,"25th April, 2021",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,1
843,Delhi Capitals,Sunrisers Hyderabad,"25th April, 2021",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Delhi Capitals,Delhi Capitals,Prithvi Shaw,1
844,Kolkata Knight Riders,Punjab Kings,"26th April, 2021",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Eoin Morgan,1
845,Delhi Capitals,Royal Challengers Bangalore,"27th April, 2021",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Delhi Capitals,Royal Challengers Bangalore,AB de Villiers,0
846,Chennai Super Kings,Sunrisers Hyderabad,"28th April, 2021",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Sunrisers Hyderabad,Chennai Super Kings,Ruturaj Gaikwad,1
847,Mumbai Indians,Rajasthan Royals,"29th April, 2021",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Mumbai Indians,Quinton de Kock,1
848,Delhi Capitals,Kolkata Knight Riders,"29th April, 2021",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Delhi Capitals,Delhi Capitals,Prithvi Shaw,1
849,Punjab Kings,Royal Challengers Bangalore,"30th April, 2021",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Royal Challengers Bangalore,Punjab Kings,Harpreet  Brar,1
850,Chennai Super Kings,Mumbai Indians,"1st May, 2021",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,0
851,Rajasthan Royals,Sunrisers Hyderabad,"2nd May, 2021",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Sunrisers Hyderabad,Rajasthan Royals,Jos Buttler,1
852,Delhi Capitals,Punjab Kings,"2nd May, 2021",league,"Narendra Modi Stadium, Ahmedabad",Day Match,Delhi Capitals,Delhi Capitals,Mayank Agarwal,1
853,Chennai Super Kings,Mumbai Indians,"19th September, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ruturaj Gaikwad,1
854,Kolkata Knight Riders,Royal Challengers Bangalore,"20th September, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,Varun Chakravarthy,1
855,Punjab Kings,Rajasthan Royals,"21st September, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Punjab Kings,Rajasthan Royals,Kartik Tyagi,0
856,Delhi Capitals,Sunrisers Hyderabad,"22nd September, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Delhi Capitals,Anrich Nortje,1
857,Kolkata Knight Riders,Mumbai Indians,"23rd September, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,1
858,Chennai Super Kings,Royal Challengers Bangalore,"24th September, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Chennai Super Kings,Chennai Super Kings,Dwayne Bravo,1
859,Delhi Capitals,Rajasthan Royals,"25th September, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Rajasthan Royals,Delhi Capitals,Shreyas Iyer,1
860,Punjab Kings,Sunrisers Hyderabad,"25th September, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Sunrisers Hyderabad,Punjab Kings,Jason Holder,1
861,Chennai Super Kings,Kolkata Knight Riders,"26th September, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Kolkata Knight Riders,Chennai Super Kings,Ravindra Jadeja,1
862,Mumbai Indians,Royal Challengers Bangalore,"26th September, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Glenn Maxwell,0
863,Rajasthan Royals,Sunrisers Hyderabad,"27th September, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Rajasthan Royals,Sunrisers Hyderabad,Jason Roy,0
864,Delhi Capitals,Kolkata Knight Riders,"28th September, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,0
865,Mumbai Indians,Punjab Kings,"28th September, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,1
866,Rajasthan Royals,Royal Challengers Bangalore,"29th September, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Yuzvendra Chahal,0
867,Chennai Super Kings,Sunrisers Hyderabad,"30th September, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Josh Hazlewood,1
868,Kolkata Knight Riders,Punjab Kings,"1st October, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Punjab Kings,Punjab Kings,KL Rahul,0
869,Delhi Capitals,Mumbai Indians,"2nd October, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Delhi Capitals,Delhi Capitals,Axar Patel,1
870,Chennai Super Kings,Rajasthan Royals,"2nd October, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Ruturaj Gaikwad,0
871,Punjab Kings,Royal Challengers Bangalore,"3rd October, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Glenn Maxwell,0
872,Kolkata Knight Riders,Sunrisers Hyderabad,"3rd October, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Shubman Gill,1
873,Chennai Super Kings,Delhi Capitals,"4th October, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Delhi Capitals,Delhi Capitals,Axar Patel,0
874,Mumbai Indians,Rajasthan Royals,"5th October, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Mumbai Indians,Mumbai Indians,Nathan Coulter-Nile,1
875,Royal Challengers Bangalore,Sunrisers Hyderabad,"6th October, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,Kane Williamson,0
876,Chennai Super Kings,Punjab Kings,"7th October, 2021",league,"Dubai International Cricket Stadium, Dubai",Day Match,Punjab Kings,Punjab Kings,KL Rahul,0
877,Kolkata Knight Riders,Rajasthan Royals,"7th October, 2021",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Shivam Mavi,1
878,Mumbai Indians,Sunrisers Hyderabad,"8th October, 2021",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Mumbai Indians,Mumbai Indians,Ishan Kishan,1
879,Delhi Capitals,Royal Challengers Bangalore,"8th October, 2021",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Srikar Bharat,0
880,Chennai Super Kings,Delhi Capitals,"10th October, 2021",knockout,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ruturaj Gaikwad,1
881,Kolkata Knight Riders,Royal Challengers Bangalore,"11th October, 2021",knockout,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,Sunil Narine,1
882,Delhi Capitals,Kolkata Knight Riders,"13th October, 2021",knockout,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Venkatesh Iyer,0
883,Chennai Super Kings,Kolkata Knight Riders,"15th October, 2021",knockout,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Faf du Plessis,1
884,Chennai Super Kings,Kolkata Knight Riders,"26th March, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Umesh Yadav,0
885,Mumbai Indians,Delhi Capitals,"27th March, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Delhi Capitals,Delhi Capitals,Kuldeep Yadav,0
886,Punjab Kings,Royal Challengers Bangalore,"27th March, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Punjab Kings,Punjab Kings,Faf du Plessis,1
887,Gujarat Titans,Lucknow Super Giants,"28th March, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Gujarat Titans,Gujarat Titans,Mohammed Shami,1
888,Rajasthan Royals,Sunrisers Hyderabad,"29th March, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Sunrisers Hyderabad,Rajasthan Royals,Sanju Samson,1
889,Kolkata Knight Riders,Royal Challengers Bangalore,"30th March, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Wanindu Hasaranga,0
890,Chennai Super Kings,Lucknow Super Giants,"31st March, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Lucknow Super Giants,Lucknow Super Giants,Evin Lewis,0
891,Kolkata Knight Riders,Punjab Kings,"1st April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Umesh Yadav,1
892,Mumbai Indians,Rajasthan Royals,"2nd April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Mumbai Indians,Rajasthan Royals,Jos Buttler,0
893,Delhi Capitals,Gujarat Titans,"2nd April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Delhi Capitals,Gujarat Titans,Lockie Ferguson,0
894,Chennai Super Kings,Punjab Kings,"3rd April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Punjab Kings,Liam Livingstone,0
895,Lucknow Super Giants,Sunrisers Hyderabad,"4th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Sunrisers Hyderabad,Lucknow Super Giants,Avesh Khan,1
896,Rajasthan Royals,Royal Challengers Bangalore,"5th April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Dinesh Karthik,0
897,Kolkata Knight Riders,Mumbai Indians,"6th April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Pat Cummins,1
898,Delhi Capitals,Lucknow Super Giants,"7th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Lucknow Super Giants,Lucknow Super Giants,Quinton de Kock,0
899,Gujarat Titans,Punjab Kings,"8th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Gujarat Titans,Gujarat Titans,Shubman Gill,1
900,Chennai Super Kings,Sunrisers Hyderabad,"9th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma,0
901,Mumbai Indians,Royal Challengers Bangalore,"9th April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Anuj Rawat,0
902,Delhi Capitals,Kolkata Knight Riders,"10th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Delhi Capitals,Kuldeep Yadav,1
903,Lucknow Super Giants,Rajasthan Royals,"10th April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Lucknow Super Giants,Rajasthan Royals,Yuzvendra Chahal,0
904,Gujarat Titans,Sunrisers Hyderabad,"11th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Kane Williamson,0
905,Chennai Super Kings,Royal Challengers Bangalore,"12th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Royal Challengers Bangalore,Chennai Super Kings,Shivam Dube,1
906,Mumbai Indians,Punjab Kings,"13th April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Mumbai Indians,Punjab Kings,Mayank Agarwal,0
907,Gujarat Titans,Rajasthan Royals,"14th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Rajasthan Royals,Gujarat Titans,Hardik Pandya,1
908,Kolkata Knight Riders,Sunrisers Hyderabad,"15th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Rahul Tripathi,0
909,Mumbai Indians,Lucknow Super Giants,"16th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Lucknow Super Giants,Lucknow Super Giants,KL Rahul,0
910,Delhi Capitals,Royal Challengers Bangalore,"16th April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Capitals,Royal Challengers Bangalore,Dinesh Karthik,0
911,Punjab Kings,Sunrisers Hyderabad,"17th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Umran Malik,0
912,Chennai Super Kings,Gujarat Titans,"17th April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Gujarat Titans,Gujarat Titans,David Miller,0
913,Kolkata Knight Riders,Rajasthan Royals,"18th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Rajasthan Royals,Yuzvendra Chahal,0
914,Lucknow Super Giants,Royal Challengers Bangalore,"19th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Lucknow Super Giants,Royal Challengers Bangalore,Faf du Plessis,0
915,Delhi Capitals,Punjab Kings,"20th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Delhi Capitals,Delhi Capitals,Kuldeep Yadav,1
916,Mumbai Indians,Chennai Super Kings,"21st April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day Match,Chennai Super Kings,Chennai Super Kings,Mukesh Choudhary,0
917,Delhi Capitals,Rajasthan Royals,"22nd April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Capitals,Rajasthan Royals,Jos Buttler,0
918,Gujarat Titans,Kolkata Knight Riders,"23rd April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Gujarat Titans,Gujarat Titans,Rashid Khan,1
919,Royal Challengers Bangalore,Sunrisers Hyderabad,"23rd April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Marco Jansen,0
920,Mumbai Indians,Lucknow Super Giants,"24th April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Lucknow Super Giants,KL Rahul,0
921,Chennai Super Kings,Punjab Kings,"25th April, 2022",league,"Wankhede Stadium, Mumbai",Day Match,Chennai Super Kings,Punjab Kings,Shikhar Dhawan,0
922,Rajasthan Royals,Royal Challengers Bangalore,"26th April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Royal Challengers Bangalore,Rajasthan Royals,Riyan  Parag,1
923,Gujarat Titans,Sunrisers Hyderabad,"27th April, 2022",league,"Wankhede Stadium, Mumbai",Day Match,Gujarat Titans,Gujarat Titans,Umran Malik,1
924,Delhi Capitals,Kolkata Knight Riders,"28th April, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Capitals,Delhi Capitals,Kuldeep Yadav,1
925,Lucknow Super Giants,Punjab Kings,"29th April, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Punjab Kings,Lucknow Super Giants,Krunal Pandya,1
926,Gujarat Titans,Royal Challengers Bangalore,"30th April, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Gujarat Titans,Rahul Tewatia,1
927,Mumbai Indians,Rajasthan Royals,"30th April, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Suryakumar Yadav,1
928,Delhi Capitals,Lucknow Super Giants,"1st May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Lucknow Super Giants,Lucknow Super Giants,Mohsin Khan,0
929,Chennai Super Kings,Sunrisers Hyderabad,"1st May, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Sunrisers Hyderabad,Chennai Super Kings,Ruturaj Gaikwad,1
930,Kolkata Knight Riders,Rajasthan Royals,"2nd May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Rinku Singh,1
931,Gujarat Titans,Punjab Kings,"3rd May, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Gujarat Titans,Punjab Kings,Kagiso Rabada,0
932,Chennai Super Kings,Royal Challengers Bangalore,"4th May, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Chennai Super Kings,Royal Challengers Bangalore,Harshal Patel,0
933,Delhi Capitals,Sunrisers Hyderabad,"5th May, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Sunrisers Hyderabad,Delhi Capitals,David Warner,1
934,Gujarat Titans,Mumbai Indians,"6th May, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Gujarat Titans,Mumbai Indians,Tim David,0
935,Punjab Kings,Rajasthan Royals,"7th May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Punjab Kings,Rajasthan Royals,Yashasvi Jaiswal,0
936,Kolkata Knight Riders,Lucknow Super Giants,"7th May, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Lucknow Super Giants,Avesh Khan,0
937,Royal Challengers Bangalore,Sunrisers Hyderabad,"8th May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Wanindu Hasaranga,1
938,Chennai Super Kings,Delhi Capitals,"8th May, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Delhi Capitals,Chennai Super Kings,Devon Conway,1
939,Kolkata Knight Riders,Mumbai Indians,"9th May, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,1
940,Gujarat Titans,Lucknow Super Giants,"10th May, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Gujarat Titans,Gujarat Titans,Shubman Gill,1
941,Delhi Capitals,Rajasthan Royals,"11th May, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Delhi Capitals,Delhi Capitals,Mitchell Marsh,1
942,Chennai Super Kings,Mumbai Indians,"12th May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Daniel Sams,0
943,Punjab Kings,Royal Challengers Bangalore,"13th May, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Punjab Kings,Jonny Bairstow,1
944,Kolkata Knight Riders,Sunrisers Hyderabad,"14th May, 2022",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,1
945,Chennai Super Kings,Gujarat Titans,"15th May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Gujarat Titans,Wriddhiman Saha,0
946,Lucknow Super Giants,Rajasthan Royals,"15th May, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Trent Boult,0
947,Delhi Capitals,Punjab Kings,"16th May, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Punjab Kings,Delhi Capitals,Shardul Thakur,1
948,Mumbai Indians,Sunrisers Hyderabad,"17th May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Sunrisers Hyderabad,Rahul Tripathi,0
949,Kolkata Knight Riders,Lucknow Super Giants,"18th May, 2022",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Lucknow Super Giants,Lucknow Super Giants,Quinton de Kock,0
950,Gujarat Titans,Royal Challengers Bangalore,"19th May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Gujarat Titans,Royal Challengers Bangalore,Virat Kohli,0
951,Chennai Super Kings,Rajasthan Royals,"20th May, 2022",league,"Brabourne Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Rajasthan Royals,Ravichandran Ashwin,0
952,Delhi Capitals,Mumbai Indians,"21st May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Jasprit Bumrah,0
953,Punjab Kings,Sunrisers Hyderabad,"22nd May, 2022",league,"Wankhede Stadium, Mumbai",Day/Night Match,Sunrisers Hyderabad,Punjab Kings,Harpreet  Brar,1
954,Gujarat Titans,Rajasthan Royals,"24th May, 2022",knockout,"Eden Gardens, Kolkata",Day Match,Gujarat Titans,Gujarat Titans,David Miller,1
955,Lucknow Super Giants,Royal Challengers Bangalore,"25th May, 2022",knockout,"Eden Gardens, Kolkata",Day/Night Match,Lucknow Super Giants,Royal Challengers Bangalore,Rajat Patidar,0
956,Royal Challengers Bangalore,Rajasthan Royals,"27th May, 2022",knockout,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Jos Buttler,0
957,Gujarat Titans,Rajasthan Royals,"29th May, 2022",knockout,"Narendra Modi Stadium, Ahmedabad",Day Match,Rajasthan Royals,Gujarat Titans,Hardik Pandya,1
